PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,782,03/02/23,BUREAU OF CUSTOMS,"2023 NWMC ADVOCACY TSHIRT, 170@250; 2023 NWMC ADVOCACY MOUSEPAD, 170@65; 2023 NWMC TARPAULIN, 2@512",,"54,574.00",
,783,,PHILHEALTH XI,VARIOUS ITEMS,23-02-017,"13,492.50",
,784,,PHILHEALTH XI,"UMBRELLA, 160@300",22-12-386,"48,000.00",
,785,03/03/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TiVO UMBRELLA, 10@220; TiVO FOLDABLE, 10@280; CARD HOLDER, 10@150; KEYCHAIN, 10@60; TiVO BASEBALL CAAP-BLACK, 15@280; TiVO BASEBALL CAP-WHITE, 10@280; TiVO MINI DRAWSTRING, 15@150; TiVO SERVICE STAR INSULATED TUMBLER, 12@850; CLEAR WATER TUMBLER, 10@230; TiVO SERVICE STAR POLOSHIRT, 15@900; TiVO JACKET, 10@900",,"51,350.00",
,786,03/16/23,BANGKO SENTRAL NG PILIPINAS,"TARPAULIN 7 FT X 11 FT, 1@1250; STANDEE 5.5 X 1.2 FT, 1@3200",650001309,"4,450.00",
,787,03/08/23,BANGKO SENTRAL NG PILIPINAS,"TARPAULIN 11 FT X 4 FT, 1@710; FROSTED MUGS, 84@170",,"14,990.00",
,788,,PSA XI (DAVAO REGION),"POLOSHIRT, 110@445",SOCD-2023-02-01,"48,950.00",
,789,,PSA XI (DAVAO REGION),"TUMBLER 500ML, 495@183",SOCD-2023-02-02,"90,585.00",
,790,,,,,,N/A
,791,,BFP RXI,"NFO UNIFORM, 33@1545",,"51,000.00",CANCELLED
,792,03/10/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT, 14@405; POLOSHIRT, 2@405",,"6,480.00",
,793,,DILG DAVAO CITY,"TSHIRT FOR CULTURAL ACTIVITIES, 33@500",,"16,500.00",
,794,,PSA XI (DAVAO REGION),"POLOSHIRT, 23@550",SOCD-2023-02-08,"12,650.00",
