PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,1748,03/27/25,UNITED SQUARE ALLIACE REALTY CORP.,"BILLBOARD TARP, 1@4200",DT-1040-03-2025-007,"4,200.00",
,1749,,NIA XI,"GLASS DOOR TINT, 1@4500",,"4,500.00",
,1750,03/26/25,DCCC-EMPC,PRINT TSHIRTS GEN ASSEMBLY,,"13,150.00",
21,1751,02/18/25,GENCORP INDUSTRIES INC,OUTDOOR STICKER,JB1034-02-2025-101,"2,408.20",
,1752, ,MAFAR BARMM,POLOSHIRT W/ PRINT,2024-07-3751-A,"45,600.00",
,1753,2/28/25,DMSFI,EMERGENCY SIGNAGE 1@260000,JO 2400281,"260,000.00",
,1754,2/28/25,DMSFI,EMERGENCY DOOR SIGNS 1@285000,JO 2400280,"285,000.00",
,1755,02/28/25,UP MINDANAO,"INSULATED MUG, 10@500",2025-02-0069,"5,000.00",
,1756,02/24/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,TIVO WALL BRANDING,36-1402708,"36,500.00",
,1757,03/11/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT LIME GREEN, 45@380",,"17,100.00",
,1758,3/11/25,DMSFI,ACRYLIC FRAME 1@8000,JO 2400331,"8,000.00",
,1759,03/10/25,BOC,"SUPPLY & PRINTING OF CUSTOMIZED PREMIUM EMBROIDERED BOC POD BANNER FLAG, 3@7000",2025-03-0016,"21,000.00",
,1760,03/14/25,BOC,VARIOUS ITEMS,2025-03-0018,"102,000.00",
,1761,03/13/25,PSA DAVAO DEL SUR,"TSHIRT SUBLIMATION, 50@450",PSADS-PO-25-03-031,"22,500.00",
,1762,03/19/25,DMSFI,JACKET BOMBER,,"4,100.00",
,1763,03/19/25,BOC,"SUPPLY AND DELIVERY OF CUSTOMIZED PLAQUES FOR TOP 10 IMPORTERS & EXPORTERS, 20@1200",2025-03-0019,,
,1764,03/19/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRTS, 6@250; POLOSHIRTS ROYAL BLUE, 9@450",,"5,550.00",
,1765,03/27/25,USEP,"FULL SUBLIMATION UNIFORM, 1 LOT@147500",2025-030189,"147,500.00",CANCELLED
,1766,,PAGIBIG FUND,"PRINTED UMBRELLA, 30@160",,"4,800.00",
,1767,,DMSFI,JACKET,,650.00,
,1768,03/31/25,DMSFI,"TARPAULIN, 5@360",,"1,800.00",
,1769,03/31/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"SUPPLY TARP BACKDROP, 1@6250; SUPPLY TARP STAGE, 1@4835",,"11,085.00",
,1770,03/31/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,,CANCELLED
,1771,03/31/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"24,313.00",
,1772,03/31/25,FPS TECH PHILIPPINES INC.,"TARP ROLLUP, 3@450",,"1,350.00",
,1773,04/01/25,FPS TECH PHILIPPINES INC.,"LANYARD, 75@80",,"6,000.00",
,1774,04/01/25,GENCORP INDUSTRIES INC,VARIOUS ITEMS,,308.10,
,1775,04/01/25,UNITED SQUARE ALLIACE REALTY CORP.,"BILLBOARD TARP, 1@4200",,"4,200.00",
,1776,04/02/15,PHILHEALTH XI,"ESSENTIAL KIT, 250@240",,"60,000.00",
,1777,04/01/25,PHILHEALTH XI,"PLAQUE, 1@2000",,"2,000.00",
,1778,04/01/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"37,180.00",
,1779,04/11/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"14,270.00",
,1780,04/11/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,BOMBER JACKET; PHOTO PAPER,,"4,720.00",
,1781,04/11/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"113,559.00",
,1782,04/11/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,PACK BAG,,"66,700.00",
,1783,03/14/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRT, 17@450; 2@480; DRAWSTRING, 7@180",,"8,950.00",
,1784,05/07/25,DMSFI,"BLUE CLOTH, 20@100; USHERETTE VEST CUSTOMIZED, 6@600",,"5,600.00",
,1785,04/15/25,PSA,"POLOSHIRTS, 50@445",SOCD-2025-04-09,"22,250.00",
,1786,04/15/25,PSA,"TOKEN FOR PARTICIPANTS DURING CONDUCT OF PRESS CONFERENCE, CUSTOMIZED MUG W/ PRINT, 100@150",,"15,000.00",
,1787,04/15/25,COMMISSION ON POPULATION AND DEVELOPMENT,"CERTIFICATE HOLDER, 150@230",2025-03-0036,"34,500.00",
,1788,04/10/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"59,702.00",CANCELLED
,1789,04/10/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"97,380.00",
,1790,04/22/25,GENCORP INDUSTRIES INC,OUTDOOR STICKERS,,"1,660.00",
,1791,04/10/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"58,702.00",CANCELLED
,1792,04/24/25,LAPANDAY FOODS CORPORATION,"CALLING CARD, 1 BOX@450",,450.00,
,1793,04/24/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRTS MOOS GREEN, 22@400",228-140,"8,800.00",
,1794,04/24/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"DRIFIT TSHIRTS, 40@230",228-136,"9,200.00",
,1795,04/25/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"INSULATED MUG W/ PRINT, 60@240",228-127,"14,400.00",
,1796,04/25/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"INSULATED MUG W/ PRINT, 40@245",228-135,"9,800.00",
,1797,04/29/25,PHILHEALTH XI,VARIOUS ITEMS,,"887,100.00",
,1798,04/29/25,PHILHEALTH XI,"MARKETING SHIRTS, 300@450; BAMBOO FLASK, 300@330; TOTE BAG, 500@285",,"394,500.00",
,1799,04/29/25,FPS TECH PHILIPPINES INC.,"JACKET BOMBER, 9@1000; PLAQUE ACRYLIC, 14@550",,"16,700.00",
,1800,04/10/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,,CANCELLED
22,1801,04/02/25,JOLISA AGRIBUSINESS CORP,"MUGS W/ PRINT, 30@70",,"2,100.00",
,1802,04/29/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"EMBROIDERY FOR GOWN, 15@150","226,883","2,250.00",
,1803,04/01/25,PHILIPPINE PORTS AUTHORITY,"POLOSHIRTS W/ PPA LOGO, 185@400",,"74,000.00",
,1804,04/21/25,PCA XI,"POLOSHIRTS, 28@450; LONGSLEEVE, 30@320; BUSH HAT, 37@350",,"32,900.00",
,1805,04/24/25,DMSFI,"ACRYLIC FRAME W/ POCKETS, 1 LOT@49107.14",J25-0012,"49,107.14",CANCELLED
,1806,04/24/25,DMSFI,"ACRYLIC SIGNAG, 2 LOTS@3500",2400373,"7,000.00",
,1807,4/24/25,DMSFI,1@ACRYLIC FRAME W/ POCKET 1@50000,JO 25-0012,"50,000.00",
,1808,,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,,,,CANCELLED
,1809,04/28/25,UNION GALVASTEEL CORPORATION,"POLOSHIRTS, 18@460",,"8,280.00",
,1810,04/29/25,DAVAO CENTRAL CHEMICAL CORPORATION,"POLOSHIRTS, RED 43@300; WHITE 21@300",2002226,"19,200.00",
,1811,04/30/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"SUBLIMATION PILLOWCASE PRINT, 2000@32; SUBLIMATION PILLOW CASE, 2000@25",221759,"114,000.00",
,1812,04/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"PUB TARP PULLUP, 5@450",,,
,1813,,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"47,493.00",
,1814,05/07/25,PSA XI,"POLOSHIRT, 33@480; WEIGHING SCALE, 31@280",,"24,520.00",
,1815,04/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"32,208.00",
,1816,04/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"35,580.00",
,1817,04/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"7,852.00",
,1818,04/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRT PRINT, 6@250; POLOSHIRTS, 9@500",,"6,000.00",
,1819,04/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS TARPAULINS,,"8,435.00",
,1820,05/03/25,FPS TECH PHILIPPINES INC.,"POLOSHIRTS, 55@500; PLAQUE, 15@550",,"35,750.00",
,1821,04/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"20,850.00",
,1822,,USEP,"CUSTOMIZED TOTEBAG, 100@240",,"24,000.00",
,1823,05/06/25,DAVAO CONCRETE POLES CORPORATION,"POLOSHIRTS W/ POCKET, 20@545; POLOSHIRTS W/O POCKET, 20@525",,"26,305.00",
,1824,5/6/25,DMSFI,TARP 9FT X 13FT 1@2106; CLOTH BANNER 2@1800,,"5,706.00",
,1825,05/07/25,FPS TECH PHILIPPINES INC.,"TARP ROLLUP, 3@450",,"1,350.00",
,1826,05/07/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"RAGLAN SHIRTS, 25@450; PUB TARP, 1@450",,"1,700.00",
,1827,05/08/25,FLATWORLD SOLUTIONS (PHILIPPINES) INC.,VARIOUS ITEMS,,"13,426.00",
,1828,05/08/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"INSULATED MUG W/ PRINT, 45@240",228141,"10,800.00",
,1829,05/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"JACKET, 32@850",,"27,200.00",
,1830,05/09/25,ATENEO DE DAVAO UNIVERSITY,"TSHIRT COTTON XS-XL, 74@260; TSHIRT COTTON 2XL, 1@270",,"19,510.00",
,1831,05/08/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"COMSET, 10",,"11,000.00",CANCELLED
,1832,05/08/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"COMSET, 10@11000",,"11,000.00",
,1833,05/08/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"REHAB, CLEANING OF LIGHTED IBEX SIGNAGE, 1 LOT@15000",,"15,000.00",
,1834,05/12/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"20,000.00",
,1835,05/12/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"PUB TARP, 4@450",,"1,800.00",
,1836,5/13/25,DMSFI,"LIGHTED ACRYLIC BUILDUP LOGO W/ TEXT ""ACCREDITATION AND QUALITY ASSURANCE OFFICE (AQA) 1@55000",JO 2400390,"55,000.00",
,1837,04/01/25,PPA XI PMO DAVAO,"WHITE TSHIRT W/ PPA LOGO, 150@250",,"37,500.00",
,1838,05/14/25, GCHOW MALL FOODS CORP,OUTDOOR STICKER,CK-1045-05-2025-150,107.14,
,1839,05/14/25,JB BOLTON,OUTDOOR STICKER,JB-1027-05-2025-142,132.40,
,1840,05/13/25,DILG DAVAO CITY,VARIOUS TSHIRTS,2025-05-18,"11,000.00",
,1841,,FILIPINAS PALM OIL PLANTATION INC,"CUSTOMIZED POLOSHIRTS, 112@510",24309,"57,120.00",
,1842,,PHILHEALTH XI,"CUSTOMIZED PLAQUE, 7@2000",,"14,000.00",
,1843,,PSA XI,"UMBRELLA, 41@140; TSHIRT, 60@300",SOCD-2025-04-16,"23,740.00",
,1844,05/07/25,PPA,"UMBRELLA LONG W/ PPA LOGO, 34@250; UMBRELLA 2 FOLDS W/ PPA LOGO, 26@250",M501-007707-25,"15,000.00",
,1845,05/19/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"193,670.00",
,1846,05/25,PSA XI,"TSHIRTS, 58@300",,"17,400.00",
,1847,05/19/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"36,634.00",
,1848,05/19/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,POLOSHIRT; MUG,,"4,900.00",
,1849,05/19/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"PULLUP TARP, 6@450",,"2,700.00",
,1850,05/20/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"PUB TARP, 6@450",,"2,700.00",
23,1851,03/21/25,DA PRDP RPCO XI,"LONGSLEEVE SHIRTS W/ REFLECTOR, 62@500; PACKABLE OUTDOOR HAT, 62@300; CUSTOMIZED TOTEBAG, 62@180",2025-008-003,"60,760.00",
,1852,05/20/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,UNIFORM; FOLDABLE FAN,,"45,410.00",
,1853,05/20/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,PLAQUE/MEDALS,,"15,640.00",
,1854,05/21/25,OFFICE PARTNERS 360,"POLOSHIRTS, 30@550",4781,"16,500.00",CANCELLED
,1855,05/21/25,OFFICE PARTNERS 360,"POLOSHIRT, 30@550",4781,"16,500.00",
,1856,05/21/25,DMSFI,"TARP, 2@450",,900.00,
,1857,,DMSFI CANCELLED,JACKET,,"1,300.00",
,1858,05/26/25,PCA XI,"POLOSHIRTS W/ EMBROID, 32@450; LONGSLEEVE W/ PRINT, 30@320; BUSH HAT, 40@350",2025-05-0026,"38,000.00",
,1859,,UP MINDANAO,"HRDO ON BOARDING, 50@230",2025-04-0288,"11,500.00",
,1860,05/29/25,FPS TECH PHILIPPINES INC.,"JACKET ELITE, 2@1000; POLOSHIRTS, 19@500; PLAQUE SMALL, 13@550; TSHIRTS, 275@820",,"87,990.00",
,1861,05/30/25,ZUMMIT FOODS CORPORATION,"POLOSHIRTS, 16@370",20-00782,"5,920.00",
,1862,05/30/25,ZUMMIT FOODS CORPORATION,"POLOSHIRTS, 6@370",20-00781,"2,220.00",
,1863,05/30/25,ZUMMIT FOODS CORPORATION,"POLOSHIRTS, 14@5180",20-00779,"5,180.00",
,1864,,ZUMMIT FOODS CORPORATION,"POLOSHIRTS, 17@370",20-00778,"6,290.00",
,1865,,DILG DAVAO REGION,"PRINITING ID, 205@150",2025-04-071,"30,750.00",
,1866,05/30/25,MINES AND GEOSCIENCES BUREAU XI,"POLOSHIRTS, 78@550",2025-05-036,"42,900.00",
,1867,,PPA SOCSARGEN,"NOTEBOOK BAMBOO CUSTOMIZED, 50@110",,"5,500.00",
,1868,05/29/25,PHILHEALTH XI,VARIOUS ITEMS,25-05-044,"18,823.02",
,1869,06/03/25,GENCORP INDUSTRIES INC,"OTDOOR STICKER, 244@80",JB1034-05-2025-147,"19,520.00",
,1870,06/03/25,OFFICE PARTNERS 360,"POLOSHIRT EMBROIDERED, 16@600; POLOSHIRTS 2XL, 4@650; TSHIRTS FULL COLORED, 100@380",4804,"50,200.00",
,1871,06/04/25,DAVAO CENTRAL CHEMICAL CORPORATION,"KRAFT PRINT, 4000@7",,"28,000.00",
,1872,06/13/25,DMSFI,"EMERGENCY SIGNAGE, 1 LOT@",2400281,"26,000.00",
,1873,6/13/25,DMSFI,ACRYLIC SIGNAGE RETENTION JO 2400280; REFER CSI 001754,,"28,550.00",
,1874,06/05/25,BSP - MRO,"SUPPLY AND DELIVERY VINYL FILM FROST, 3@3900",,"11,700.00",
,1875,06/09/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"88,630.00",
,1876,06/09,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"28,900.00",
,1877,06/05/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"ECO BAG, 200@10",,"2,000.00",
,1878,06/09/25,COMMISSION ON POPULATION AND DEVELOPMENT,"CPD ID LANYARD, 10@180",2025-05-0057,"1,800.00",
,1879,,BFP XI,"TSHIRTS, 150@598; TARP, 2@660",LOG-2025-05-078,"91,020.00",
,1880,,BFP XI,"UNIFORM, 74@945",LOG-2025-06-080,"69,930.00",
,1881,06/10/25,ZUMMIT FOODS CORPORATION,"POLOSHIRTS, 15@370",20-00686,"5,550.00",
,1882,06/10/2025,ZUMMIT FOODS CORPORATION,"POLOSHIRTS, 14@370",20-00687,"5,180.00",
,1883,06/10/25,ZUMMIT FOODS CORPORATION,"POLOSHIRTS, 14@370",20-00735,"5,180.00",
,1884,06/10/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TOGA, 24@1200",,"28,800.00",
,1885,06/10/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TOGA W/ LOGO, 24@1200",,"28,800.00",
,1886,06/10/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"COMSET, 1 SET",,"15,000.00",
,1887,06/11/25,MGB XI,"SHORTS SLEEVELESS TOP, 7@675; SHORTS TSHIRT TOP, 28@675",,"23,625.00",
,1888,05/23/25,DA PRDP,"POLOSHIRTS GREEN, 124@480",,"59,520.00",
,1889,06/11/25,DMSFI,"EMBROIDERY, 35@80",,"2,800.00",CANCELLED
,1890,06/13/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"TARPAULIN BANNER, 2@180; TARPAULIN, 3@120",,720.00,
,1891,06/13/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"TARPAULIN, 1@450",2024-40783,450.00,
,1892,06/16/25,FLATWORLD SOLUTIONS (PHILIPPINES) INC.,VARIOUS ITEMS,,"11,882.50",
,1893,,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT BATIS, 48@450",,"21,600.00",
,1894,06/18/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"BAR PIN, 200@15",,,
,1895,,UP MINDANAO,"POLOSHIRTS, 10@1250; JACKET BLACK, 10@650",,"19,000.00",
,1896,06/20/25,DA PRDP,"STORAGE BAG, 150@190",,"28,500.00",
,1897,,DMSFI,TARP. 4@150,,600.00,
,1898,06/25/25,USEP,VARIOUS ITEMS,2025-05-0539,"338,070.00",
,1899,06/25/25,USEP,"RIBBON, 3000@29",,"87,000.00",
,1900,06/26/25,PSA,"UMBERELLA TOKEN, 207@150",SOCD-2025-06-07,"31,050.00",
24,1901,06/16/25,PCA XI,"POLOSHIRT, 45@450; BURI HAT, 20@20",2025-06-0101,"22,150.00",
,1902,06/25/25,MDRRMO,"SUBLIMATED TSHIRT, 297@350",,"103,950.00",
,1903,06/24/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"VIP 2025 STICKER OR SINTRA, 7@1500",,"1,500.00",
,1904,06/24/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"POLOSHIRTS, 15@550; POLOSHIRT, 1@580",,"8,830.00",
,1905,06/24/25,MARINA XI,"ID, 37@170; LANYARD ID, 70@70",,"10,490.00",
,1906,06/24/25,DAVAO CENTRAL CHEMICAL CORPORATION,"TARPAULIN PRINTING, 40@72; TARPAULIN SAFETY, 5@720",,"6,480.00",
,1907,06/24/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"38,500.00",
,1908,06/25/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"SINTRA BOARD, 1@1500",,"1,500.00",CANCELLED
,1909,06/25/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"SINTRA BOARD W/ LAMINATED PRINTED VIP, 1@1500",,"1,500.00",
,1910,06/26/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,VARIOUS ITEMS,,,CANCELLED
,1911,06/26/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,VARIOUS ITEMS,,"266,555.00",
,1912,06/26/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRTS, 23@475",,"10,665.00",
,1913,06/26/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRTS, 40@400",,"16,000.00",
,1914,06/26/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"BANNER, 1@1000",,"1,000.00",
,1915,06/26/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"REHABILITATION OF BUSTED LED, 1 LOT@30000",,"30,000.00",
,1916,06/30/25,NIA-DDO-IMO,"PLAQUE LOYALTY, 10@1500",,"15,000.00",
,1917,06/30/25,NIA-DDO-IMO,"TREE PLANTING SHIRTS, 105@240",,"25,200.00",
,1918,06/30/25,NIA-DDO-IMO,"POLOSHIRTS REHABILITATION, 105@650",,"68,250.00",
,1919,06/27/25,DA-PRDP,"POLOSHIRT, 106@620",3684,"65,720.00",
,1920,06/27/25,ATENEO DE DAVAO UNIVERSITY,TSHIRTS COLORED,,"29,680.00",
,1921,07/01/25,FLATWORLD SOLUTIONS (PHILIPPINES) INC.,"KEYCHAIN, 20@75; NOTEBOOK, 27@120; CAP 16@280",,"14,180.60",
,1922,07/01/25,ZUMMIT FOODS CORPORATION,"POLOSHIRTS, 4@370",,"1,480.00",
,1923,,PAG-IBIG FUND,"TARP BANNER, 2@576",25-06-616,"1,152.00",
,1924,07/03/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"TSHIRTS, 26@230","232,462","5,980.00",
,1925,07/03/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRTS, 16@450",,"7,200.00",
,1926,07/03/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRTS W/ PRINT, 35@250",,"8,750.00",
,1927,07/04/25,PSA XI,"UMBRELLA, 46@300",SOCD-2025-06-06,"13,800.00",
,1928,07/04/25,PSA XI,"POLOSHIRTS, 31@450; POLOSHIRTS W/ EMBROIDERY, 62@500",SOCD-2025-06-05,"44,950.00",
,1929,,PAG-IBIG FUND,"TARPAULIN, BANNER TYPE, 6@528",25-05-536-2025,"3,168.00",
,1930,,NIA,"PLAQUE LOYALTY AWARD, 6@1500",MISC-2025-06-328,"9,000.00",
,1931,,PSA DAVAO REGION,"POLOSHIRT, 22@50",SOCD-2025-06-13,"1,100.00",
,1932,,MGB XI,"ENVIRONMENT MONTH, 4@550",2025-06-042,"2,000.00",
,1933,07/08/25,PSA DAVAO REGION,"POLOSHIRTS, 280@475",SOCD-2025-06-04,"138,600.00",
,1934,07/09/25,ATENEO DE DAVAO UNIVERSITY,"TSHIRT W/ PRINT, 40@260",30565,"10,400.00",
,1935,,NIA REGION XI,"TSHIRT W/ PRINT, 130@250",SO-2025-06-109,"32,500.00",
,1936,07/11/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"INSULATED MUG W/ PRINT, 20@240","230,727","4,800.00",
,1937,07/11/25,DMSFI,"TARP PINNING, 1@2772; TARP BACCALAUREATE, 1@1728",,"4,500.00",
,1938,07/14/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"11,200.00",
,1939,07/14/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"69,182.00",
,1940,07/14/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"18,400.00",
,1941,07/14/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,,,,CANCELLED
,1942,07/14/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"LINEN BEDSHEETS, 2000@32; LINEN PILLOWCASE, 2000@25, LINEN, 1000@32",,"146,000.00",
,1943,07/14/25,GCHOW GMALL FOODS CORP,OUTDOOR STICKER,,664.40,
,1944,07/15/25,DAVAO CENTRAL CHEMICAL CORPORATION,"SACKS PRINTING, 500@8",2601,"4,000.00",
,1945,,NIA XI DAVAO REGION,VARIOUS ITEMS,,"170,950.00",
,1946,07/16/25,PSA DAVAO REGION,"CUSTOMIZED ID LANYARD, 30@100",SOCD-2025-07-04,"3,000.00",
,1947,07/16/25,FPS TECH PHILIPPINES INC.,"POLOSHIRT, 16@550; POLOSHIRT, 1@650",,"9,450.00",
,1948,,NIA DAVAO,"SUPPLY AND MATERIALS, 2@9500",2025-06-104,"19,000.00",
,1949,08/20/25,PHILHEALTH XI,VARIOUS ITEMS,,"1,818,600.00",
,1950,,NIA DIGOS,"PLAQUE, 5@1500",,"75,000.00",
25,1951,07/07/25,GENCORP INDUSTRIES INC,"OUTDOOR STICKER, 3@357.14",,"1,071.43",
,1952,07/15/25,PCA XI,"POLOSHIRTS COMBI LOGO EMBROIDERY, 65@600",,"39,000.00",
,1953,07/15/25,PCA XI,"POLOSHIRTS COMBI LOGO EMBROIDERY, 2@600",,"1,200.00",
,1954,07/15/25,PCA XI,"POLOSHIRTS W/ EMBROIDERED (MOSS GREEN), 72@450",,"32,400.00",
,1955,07/15/25,DAVAO CENTRAL CHEMICAL CORPORATION,"SACKS PRINTING, 500@8",,"4,000.00",
,1956,07/16/25,GENCORP INDUSTRIES INC,"STICKER, 6@9.87",,59.20,
,1957,07/16/25,GENCORP INDUSTRIES INC,OUTDOOR STICKERS,,65.20,
,1958,07/18/25,DMSFI,"BUILDUP DMSFI LOGO, 1 LOT@80000; DMSFI LOGO ALUMINUM CLADDING BASE, 1 LOT@80000",2500006,"160,000.00",
,1959,06/28/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"27,750.00",
,1960,,NIA XI,VARIOUS ITEMS,MISC-2025-07-123,"32,550.00",
,1961,07/24/25,DILG DAVAO REGION,"TARP BANNER, 1@1400; ROLLUP BANNER, 6@2000",2025-07-149,"13,400.00",
,1962,07/24/25,DMSFI,"TARP FRESHMEN, 1@1728",,"1,728.00",
,1963,07/25/25,PSA DAVAO REGION,"POLOSHIRT FOR JULY 2025, 725@415",SOCD-2025-05-04,"300,875.00",
,1964,07/25/25,PSA XI,"POLOSHIRTS FOR JULY, 25@415",SOCD-2025-05-04A,"10,375.00",
,1965,07/25/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"APRON, 10@330",,"3,300.00",
,1966,,NIA LUPON,"PLAQUE, 5@1500",2025-06-058,"7,500.00",
,1967,07/29/25,DMSFI,"TARP, 1@2772; TARP, TARP BLUE COAT, 1@1728",,"4,500.00",
,1968,07/29/25,DILG XI,"POLOSHIRTS, 60@500",2025-07150,"30,000.00",
,1969,07/31/25,FILIPINAS PALM OIL PLANTATION INC,"CUSTOMIZED POLOSHIRT, 20@510",,"10,200.00",
,1970,07/30/25,DA PRDP,"POLOSHIRT W/ EMBROIDERY, 318@500",,"384,240.00",CANCELLED
,1971,07/30/25,DA PRDP,"POLOSHIRT W/ EMBROIDERY, 318@500",,"159,000.00",CANCELLED
,1972,07/30/25,DA PRDP,"POLOSHIRT W/ EMBROIDERED 386@500; POLOSHIRT W/ EMBROIDERED, 52@620; POLOSHIRT W/ EMBROIDERED, 318@500",,"384,241.00",
,1973,,MGB XI,"SHORTS & TOP BASKETBALL/VOLLEYBALL, 4@675",,"2,700.00",
,1974,08/01/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TARP FOR ROLLUP, 6@450",,"2,700.00",
